target	y_transform	shuffle
cc_all_n_objects	binarize	True
cc_all_n_objects	binarize	False
cc_all_nucleus_roundness_mean	binarize	True
cc_all_nucleus_roundness_mean	binarize	False
cc_cc_late_mitosis	binarize	True
cc_cc_late_mitosis	binarize	False
cc_cc_n_objects	binarize	True
cc_cc_n_objects	binarize	False
cc_late_mitosis_high_h2ax	binarize	True
cc_late_mitosis_high_h2ax	binarize	False
cc_s_intensity_nucleus_area_sum	binarize	True
cc_s_intensity_nucleus_area_sum	binarize	False
cc_s_n_objects	binarize	True
cc_s_n_objects	binarize	False
vb_live_cell_roundness	binarize	True
vb_live_cell_roundness	binarize	False
vb_live_cell_width_length	binarize	True
vb_live_cell_width_length	binarize	False
vb_num_live_cells	binarize	True
vb_num_live_cells	binarize	False
vb_percent_live	binarize	True
vb_percent_live	binarize	False
vb_ros_back_mean	binarize	True
vb_ros_back_mean	binarize	False
